	BLOCKID10	First_POI	Second_POI	Third_POI	Fourth_POI	Fifth_POI	ARPCIncome	ARPerHEdu	ARPerWork	ARPerRMI5L	ARPer3MU	ARPopDen	ARPerAA	ARHeteInx	ARPerM1724	ARPerHOwn	ARPerSF	NIBRSclass	Place2	Report_Dat	Street_Nam
590	371190024003004	EAVES FELMONT, MD	SURGICAL SUITES	CHARLOTTE PLASTIC SURGERY CTR	HELEN COOLEY	NOLTON REAL ESTATE INC % SUSAN G NO	inc-15/15	edu-3/15	empl-11/15	lt5y-2/15	3mu-3/12	popden-1/15	afro-1/13	hetero-6/14	youngm-1/14	own-5/15	sinpar-2/15	All Other Offenses	Hospital/Medical Facility	06-2x	RANDOLPH
355	371190005002004	FIRST PRESBYTERIAN CHURCH	LATORRES RESTAURANT AND BAR INC	J S BUCHANAN CORP	CITY BARBERS	WITHERSPOON HOME INSPECTIONS	inc-13/15	edu-14/15	empl-14/15	lt5y-14/15	3mu-12/12	popden-15/15	afro-6/13	hetero-12/14	youngm-12/14	own-1/15	sinpar-5/15	All Other Offenses	Street/Highway	04-1x	5TH
592	371190035002005	HILL LETTERING SVC	PRINCESS PALACE LEARNING INC	BARRINGER ELEMENTARY SCHOOL	MORRIS CLEMENT JR LIFE & HLTH	ITS LIKE POETRY FROM THE GRILL	inc-14/15	edu-6/15	empl-12/15	lt5y-4/15	3mu-6/12	popden-12/15	afro-1/13	hetero-1/14	youngm-3/14	own-12/15	sinpar-3/15	All Other Offenses	School - Primary or Secondary	06-2x	WALTON
117	371190047001015	DOUBLETREE CLUB HOTEL	hotels	FIA CARD SERVICES NA	JOHNSON AND WALES UNIVERSITY	BANK OF AMERICA CORP	inc-2/15	edu-15/15	empl-2/15	lt5y-8/15	3mu-6/12	popden-3/15	afro-11/13	hetero-2/14	youngm-13/14	own-7/15	sinpar-10/15	All Other Offenses	Other - Commercial Place	02-1x	TRADE
401	371190032011010	ALL AMERICAN TRAVEL	ARBORIST	CENTEX  HOMES	CORPORATE BENEFITS SERVICE INC	AMERICAN TROPHY AND SALES CO INC	inc-9/15	edu-14/15	empl-14/15	lt5y-5/15	3mu-5/12	popden-6/15	afro-2/13	hetero-2/14	youngm-3/14	own-13/15	sinpar-1/15	All Other Offenses	Street/Highway	05-0x	WEBSTER
626	371190004001007	STADIUM CLEANING SERVICES	PANTHERS STADIUM LLC	STADIUM FOOD & BEVERAGE INC	ELI'S CATERING	CAROLINA PANTHERS	inc-14/15	edu-2/15	empl-15/15	lt5y-14/15	3mu-11/12	popden-1/15	afro-5/13	hetero-12/14	youngm-13/14	own-6/15	sinpar-3/15	All Other Offenses	Other - Commercial Place	07-1x	MINT
526	371190020035000	STONEHAVEN EAST APARTMENTS	BETTY BOOS TREATS	MC ALPINE TERRACE-GLEN COVE	UNITED METHODIST AGENCY	PITNEY BOWES MANAGEMENT SERVICES	inc-5/15	edu-9/15	empl-9/15	lt5y-10/15	3mu-8/12	popden-5/15	afro-7/13	hetero-12/14	youngm-6/14	own-4/15	sinpar-8/15	All Other Offenses	Apartment/Duplex Private Res	06-1x	PINEBURR
1116	371190035001014	CHS REAL ESTATE	CHS CORPORATE OFFICE	CHARLOTTE MECKLENBURG HOSPITAL	ARAMARK MANAGEMENT SERVICES LP	GARDEN FRESH DELI INC	inc-14/15	edu-9/15	empl-13/15	lt5y-9/15	3mu-10/12	popden-4/15	afro-2/13	hetero-4/14	youngm-6/14	own-4/15	sinpar-3/15	All Other Offenses	Hospital/Medical Facility	12-1x	BLYTHE
246	371190039023003	WILLIAMS LAWN CARE	BARRINGER ELEMENTARY SCHOOL	REVOLUTION PARK GOLF CORP	FAVORS & DESIRES	LAUFEN INTERNATIONAL	inc-5/15	edu-3/15	empl-13/15	lt5y-13/15	3mu-9/12	popden-5/15	afro-12/13	hetero-1/14	youngm-10/14	own-6/15	sinpar-9/15	All Other Offenses	Private Residence	03-1x	BEECH NUT
771	371190047001015	BLACKFINN CLT LLC	CONCRETE STRATEGIES LLC	FLAHERTY & COLLINS CONSTRUCTION	THE RITZ CARLTON HOTEL COMPANY LLC	ILLUM'E	inc-2/15	edu-15/15	empl-2/15	lt5y-8/15	3mu-6/12	popden-3/15	afro-11/13	hetero-2/14	youngm-13/14	own-7/15	sinpar-10/15	All Other Offenses	Street/Highway	08-2x	TRADE
813	371190047001015	TRADE CENTER OFFICE	BANK OF AMERICA NATIONAL ASSOCIATIO	BURGER KING	BOJANGLES	ALLIEDBARTON NC LLC	inc-2/15	edu-15/15	empl-2/15	lt5y-8/15	3mu-6/12	popden-3/15	afro-11/13	hetero-2/14	youngm-13/14	own-7/15	sinpar-10/15	All Other Offenses	Air/Bus/Train Terminal	09-1x	TRADE
419	371190046002018	TABERNACLE BAPTIST CHURCH	TREE CUTTER	WASHINGTON HEIGHTS COMMUNITY	ALLEAN CHILDCARE CENTER	BEATTIES FORD EXPRESS	inc-3/15	edu-14/15	empl-1/15	lt5y-10/15	3mu-4/12	popden-13/15	afro-13/13	hetero-5/14	youngm-3/14	own-12/15	sinpar-15/15	All Other Offenses	Private Residence	05-0x	BOOKER
18	371190040001000	GRAYBAR ELECTRIC COMPANY INC	GRAYBAR ELECTRIC COMPANY INC	SOUTHERN STYLE BAR GRILL	BROOKSTONE SCHOOLS OF MECKLENBURG C	THE URBAN RESTORATION INC	inc-6/15	edu-3/15	empl-8/15	lt5y-3/15	3mu-4/12	popden-1/15	afro-9/13	hetero-7/14	youngm-7/14	own-6/15	sinpar-13/15	All Other Offenses	Private Residence	01-0x	CAMP GREENE
1108	371190013001037	CHRISTOPHER THE CALLIGRAPHER	MERCURY MESSENGERS	T-N-T TREE & LANDSCAPING	RESIDENTIAL REMEDY	MVI PRODUCTION	inc-8/15	edu-10/15	empl-6/15	lt5y-6/15	3mu-4/12	popden-9/15	afro-5/13	hetero-12/14	youngm-9/14	own-9/15	sinpar-3/15	All Other Offenses	Private Residence	12-1x	HILLIARD
423	371190001001020	N C DANCE THEATRE INC	COOPERATIVE EXTENSION SERVICE	LAND USE & ENVIRONMENTAL SVC	MECKLENBURG SOIL AND WATER	CHARLOTTE BUSINESS LICENSE	inc-15/15	edu-1/15	empl-15/15	lt5y-14/15	3mu-11/12	popden-1/15	afro-1/13	hetero-12/14	youngm-13/14	own-12/15	sinpar-4/15	All Other Offenses	Street/Highway	05-0x	COLLEGE
38	371190053011004	ARBOR APARTMENTS	FOURTH WARD MARKET	FOURTH WARD CLEANERS	ALVEOLUS INC	TRANSAMERIA LIFE INSURANCE COMPANY	inc-4/15	edu-5/15	empl-5/15	lt5y-13/15	3mu-11/12	popden-4/15	afro-3/13	hetero-10/14	youngm-8/14	own-5/15	sinpar-4/15	All Other Offenses	Apartment/Duplex Private Res	01-1x	GRAHAM
400	371190031061018	PARKER GARDNER ORGAN & SVC	TIRE KINGDOM INC	HANDS ON ENGRAVING	ENTERPRISE LEASING COMPANY	CONFIA FINANCIAL GROUP INC	inc-10/15	edu-6/15	empl-13/15	lt5y-6/15	3mu-7/12	popden-2/15	afro-3/13	hetero-12/14	youngm-2/14	own-7/15	sinpar-4/15	All Other Offenses	Private Residence	05-0x	LARKFIELD
440	371190042003006	ENDERLY PARK RECREATION CTR	KAMIT NATURAL FOODS	GOOD HOPE MISSIONARY BAPTIST	RESTORATION HOME MISSION	SPIRIT OF THE LIVING GOD	inc-1/15	edu-14/15	empl-1/15	lt5y-14/15	3mu-2/12	popden-7/15	afro-13/13	hetero-9/14	youngm-3/14	own-4/15	sinpar-10/15	All Other Offenses	Private Residence	05-1x	EFFINGHAM
747	371190042003006	GOOD HOPE MISSIONARY BAPTIST	KAMIT NATURAL FOODS	RESTORATION HOME MISSION	OUR PLACE BAR & GRILL	QUICK'N E-Z FOOD MARTS	inc-1/15	edu-14/15	empl-1/15	lt5y-14/15	3mu-2/12	popden-7/15	afro-13/13	hetero-9/14	youngm-3/14	own-4/15	sinpar-10/15	All Other Offenses	Private Residence	08-1x	EFFINGHAM
965	371190019101000	R & A PAINTING & CLEANING CO	LABOR LOGISTICS INC	YMCA OF GREATER CHARLOTTE	ALBEMARLE ROAD ELEMENTARY	C B THOMAS CO	inc-3/15	edu-7/15	empl-10/15	lt5y-15/15	3mu-12/12	popden-13/15	afro-5/13	hetero-13/14	youngm-11/14	own-1/15	sinpar-9/15	All Other Offenses	Private Residence	10-2x	RIDING TRAIL
836	371190008001000	EARTH BLOOM CONSTRUCTION	SHERMAN MEMORIAL COGIC	MUDWERK	DENNIS MART	GREEN OAKS MSSNRY BAPTIST CHR	inc-3/15	edu-10/15	empl-3/15	lt5y-11/15	3mu-5/12	popden-14/15	afro-9/13	hetero-6/14	youngm-10/14	own-4/15	sinpar-12/15	All Other Offenses	Private Residence	09-1x	HAWTHORNE
920	371190001001019	PREMIER LANDSCAPING	CAROLINA PRO MUSICA	MATION ENGINEERING	AUDIOLOGIC SERVICES INC	MARY MARTHA BLEDSOE FELKNER	inc-15/15	edu-1/15	empl-15/15	lt5y-14/15	3mu-11/12	popden-12/15	afro-6/13	hetero-12/14	youngm-13/14	own-12/15	sinpar-6/15	All Other Offenses	Apartment/Duplex Private Res	10-1x	7TH
812	371190019101002	JOSEPH T JAKUBEK DDS PA	STEPHANIE C CHEN DDS MS PA	WOODBRIDGE APARTMENTS	YMCA OF GREATER CHARLOTTE	ALDI NC LLC	inc-3/15	edu-7/15	empl-10/15	lt5y-15/15	3mu-12/12	popden-8/15	afro-9/13	hetero-4/14	youngm-2/14	own-15/15	sinpar-6/15	All Other Offenses	Apartment/Duplex Private Res	09-1x	YATESWOOD
193	371190051002001	NEW CALVARY PENTECOSTAL CHURCH	FLOWERS BY LOIS (A CORP)	ANDERTON BARBER SHOP	KP EXPRESS MART	HOWEY BROTHERS CLEANING SVC	inc-10/15	edu-3/15	empl-2/15	lt5y-5/15	3mu-5/12	popden-8/15	afro-13/13	hetero-1/14	youngm-7/14	own-9/15	sinpar-15/15	All Other Offenses	Apartment/Duplex Private Res	03-0x	MORETZ
785	371190015043000	ENTERPRISE LEASING COMPANY	CARPET & TILE GALLERY	FIRST GROUP PROPERTIES INC	HOUSE OF CARPETS OF INTERIORS	COUNTYWIDE COMMERCIAL	inc-3/15	edu-9/15	empl-3/15	lt5y-11/15	3mu-8/12	popden-8/15	afro-5/13	hetero-14/14	youngm-9/14	own-11/15	sinpar-8/15	All Other Offenses	Other - Commercial Place	09-0x	SHARON AMITY
